"Staper","Bcidm0201","Bcidm0202","Bcidm0203"
"1999-01","107.4000","103.8000","105.9000"
"1999-02","107.8000","103.6000","106.2000"
"1999-03","107.5000","103.0000","105.7000"
"1999-04","107.7000","103.1000","105.8000"
"1999-05","107.9000","104.5000","106.6000"
"1999-06","108.4000","106.3000","107.6000"
"1999-07","107.4000","105.3000","106.5000"
"1999-08","108.9000","107.2000","108.3000"
"1999-09","109.4000","106.7000","108.4000"
"1999-10","109.6000","106.3000","108.3000"
"1999-11","109.3000","107.5000","108.6000"
"1999-12","109.8000","110.0000","109.9000"
"2000-01","109.7000","109.7000","109.7000"
"2000-02","110.0000","109.9000","110.0000"
"2000-03","110.2000","110.3000","110.4000"
"2000-04","110.7000","110.2000","110.6000"
"2000-05","111.2000","110.8000","111.1000"
"2000-06","111.2000","111.1000","111.2000"
"2000-07","111.3000","111.4000","111.4000"
"2000-08","111.6000","111.9000","111.8000"
"2000-09","112.4000","112.1000","112.4000"
"2000-10","112.6000","112.4000","112.5000"
"2000-11","113.0000","112.2000","112.7000"
"2000-12","113.2000","112.7000","112.9000"
"2001-01","","94.9000","97.0000"
"2001-02","113.2000","112.6000","112.9000"
"2001-03","113.4000","113.1000","113.2000"
"2001-04","113.4000","114.1000","113.8000"
"2001-05","112.8000","114.1000","113.4000"
"2001-06","","96.3000","97.4000"
"2001-07","98.7000","97.2000","98.1000"
"2001-08","97.9000","96.7000","97.5000"
"2001-09","97.8000","96.4000","97.3000"
"2001-10","112.4000","114.6000","113.4000"
"2001-11","97.2000","96.3000","96.9000"
"2001-12","97.4000","96.4000","97.1000"
"2002-01","97.1000","","96.9000"
"2002-02","97.5000","96.4000","97.1000"
"2002-03","97.2000","96.8000","97.2000"
"2002-04","97.0000","96.8000","97.1000"
"2002-05","97.3000","96.9000","97.1000"
"2002-06","97.4000","97.2000","97.3000"
"2002-07","","","97.3000"
"2002-08","","97.3000","97.2000"
"2002-09","","97.4000","97.3000"
"2002-10","112.2000","115.8000","113.6000"
"2002-11","112.7000","115.7000","113.9000"
"2002-12","97.6000","97.4000","97.5000"
"2003-01","98.0000","97.4000","97.7000"
"2003-02","98.1000","97.6000","97.8000"
"2003-03","97.7000","97.5000","97.6000"
"2003-04","87.3000","90.7000","88.7000"
"2003-05","83.7000","88.6000","85.7000"
"2003-06","86.8000","91.4000","88.6000"
"2003-07","90.6000","92.1000","91.2000"
"2003-08","92.2000","93.3000","92.7000"
"2003-09","92.2000","94.3000","93.1000"
"2003-10","93.5000","95.1000","94.2000"
"2003-11","93.8000","95.3000","94.5000"
"2003-12","94.7000","95.9000","95.3000"
"2004-01","94.3000","96.2000","95.4000"
"2004-02","94.0000","96.1000","95.2000"
"2004-03","94.1000","96.3000","95.4000"
"2004-04","93.6000","96.1000","95.0000"
"2004-05","90.3000","94.2000","92.6000"
"2004-06","88.7000","92.2000","90.1000"
"2004-07","89.9000","93.0000","91.1000"
"2004-08","89.4000","92.8000","90.8000"
"2004-09","90.1000","93.2000","91.3000"
"2004-10","90.7000","93.4000","91.8000"
"2004-11","91.8000","94.0000","92.7000"
"2004-12","93.6000","92.5000","93.2000"
"2005-01","94.0000","92.7000","93.5000"
