"Month","Datasign","Consumerprice","Ruralconsumerprice","Urbanconsumerprice","Food","Nonfood","Consumable","Services","Tobaccoliquor","Clothing","Facilitiesservices","Healthcares","Transportcommun","Recreateeducultural","Residence"
"1987-01","A","5.1000","4.8000","5.5000","","","","","","","","","","",""
"1987-01","B","5.1000","4.8000","5.5000","","","","","","","","","","",""
"1987-02","A","5.4000","4.9000","6.0000","","","","","","","","","","",""
"1987-03","A","5.8000","5.0000","6.7000","","","","","","","","","","",""
"1987-04","A","6.7000","5.1000","8.7000","","","","","","","","","","",""
"1987-05","A","7.6000","6.4000","9.3000","","","","","","","","","","",""
"1987-06","A","7.8000","6.2000","9.9000","","","","","","","","","","",""
"1987-07","A","7.8000","6.9000","9.0000","","","","","","","","","","",""
"1987-08","A","8.2000","7.0000","9.8000","","","","","","","","","","",""
"1987-09","A","7.7000","6.6000","9.2000","","","","","","","","","","",""
"1987-10","A","7.5000","6.3000","9.1000","","","","","","","","","","",""
"1987-11","A","8.3000","7.1000","9.9000","","","","","","","","","","",""
"1987-12","A","8.9000","7.2000","11.1000","","","","","","","","","","",""
"1988-01","B","7.9000","8.1000","7.6000","","","","","","","","","","",""
"1988-01","A","9.4000","8.0000","11.2000","","","","","","","","","","",""
"1988-02","A","10.4000","8.6000","12.8000","","","","","","","","","","",""
"1988-03","A","11.3000","9.6000","13.6000","","","","","","","","","","",""
"1988-04","A","12.2000","11.1000","13.7000","","","","","","","","","","",""
"1988-05","A","14.2000","13.3000","15.4000","","","","","","","","","","",""
"1988-06","A","16.3000","15.4000","17.5000","","","","","","","","","","",""
"1988-07","A","19.2000","17.8000","21.2000","","","","","","","","","","",""
"1988-08","A","23.6000","21.5000","26.6000","","","","","","","","","","",""
"1988-09","A","26.4000","24.5000","29.2000","","","","","","","","","","",""
"1988-10","A","27.1000","25.3000","29.7000","","","","","","","","","","",""
"1988-11","A","26.8000","24.7000","29.8000","","","","","","","","","","",""
"1988-12","A","27.9000","27.4000","28.6000","","","","","","","","","","",""
"1989-01","A","27.4000","27.5000","27.3000","","","","","","","","","","",""
"1989-01","B","27.4000","27.5000","27.3000","","","","","","","","","","",""
"1989-02","A","28.4000","29.1000","27.4000","","","","","","","","","","",""
"1989-03","A","27.1000","28.1000","25.7000","","","","","","","","","","",""
"1989-04","A","26.6000","27.5000","25.3000","","","","","","","","","","",""
"1989-05","A","24.8000","25.9000","23.4000","","","","","","","","","","",""
"1989-06","A","22.8000","24.1000","21.0000","","","","","","","","","","",""
"1989-07","A","19.4000","20.9000","17.5000","","","","","","","","","","",""
"1989-08","A","15.3000","17.1000","13.0000","","","","","","","","","","",""
"1989-09","A","11.5000","13.2000","9.2000","","","","","","","","","","",""
"1989-10","A","8.6000","9.9000","6.8000","","","","","","","","","","",""
"1989-11","A","7.4000","9.0000","5.3000","","","","","","","","","","",""
"1989-12","A","6.6000","8.4000","4.3000","","","","","","","","","","",""
"1990-01","A","4.3000","5.9000","2.2000","","","","","","","","","","",""
