"Month","Datasign","Retailsale","Retailsalesize","Retailsalecountry","Retailsaletown","Caterretailsale","Caterretailsize","Commodityretailsale","Commodityretailsize","Retailsalegryoym","Retailsalesizegryoym","Retailsalecountrygryoym","Retailsaletowngryoym","Caterretailsalegryoym","Caterretailsizegryoym","Commodityretailgryoym","Commodityretailsizegryoym","Status2"
"1993-01","A","1038.30","","","","","","","","","","","","","","","","P"
"1993-02","A","983.40","","","","","","","","","","","","","","","","P"
"1993-03","A","1067.80","","","","","","","","","","","","","","","","P"
"1993-04","A","1071.20","","","","","","","","","","","","","","","","P"
"1993-05","A","1094.40","","","","","","","","","","","","","","","","P"
"1993-06","A","1140.80","","","","","","","","","","","","","","","","P"
"1993-07","A","1087.60","","","","","","","","","","","","","","","","P"
"1993-08","A","1070.80","","","","","","","","","","","","","","","","P"
"1993-09","A","1132.30","","","","","","","","","","","","","","","","P"
"1993-10","A","1160.20","","","","","","","","","","","","","","","","P"
"1993-11","A","1195.60","","","","","","","","","","","","","","","","P"
"1993-12","A","1550.20","","","","","","","","","","","","","","","","P"
"1994-01","A","1192.20","","","","","","","","14.8200","","","","","","","","P"
"1994-02","A","1162.70","","","","","","","","18.2300","","","","","","","","P"
"1994-03","A","1167.50","","","","","","","","9.3400","","","","","","","","P"
"1994-04","A","1170.40","","","","","","","","9.2600","","","","","","","","P"
"1994-05","A","1213.70","","","","","","","","10.9000","","","","","","","","P"
"1994-06","A","1281.10","","","","","","","","12.3000","","","","","","","","P"
"1994-07","A","1251.50","","","","","","","","15.0700","","","","","","","","P"
"1994-08","A","1286.00","","","","","","","","20.1000","","","","","","","","P"
"1994-09","A","1396.20","","","","","","","","23.3100","","","","","","","","P"
"1994-10","A","1444.10","","","","","","","","24.4700","","","","","","","","P"
"1994-11","A","1553.80","","","","","","","","29.9600","","","","","","","","P"
"1994-12","A","1932.20","","","","","","","","24.6400","","","","","","","","P"
"1995-01","A","1602.20","","","","","","","","34.3900","","","","","","","","P"
"1995-02","A","1491.50","","","","","","","","28.2800","","","","","","","","P"
"1995-03","A","1533.30","","","","","","","","31.3300","","","","","","","","P"
"1995-04","A","1548.70","","","","","","","","32.3200","","","","","","","","P"
"1995-05","A","1585.40","","","","","","","","30.6300","","","","","","","","P"
"1995-06","A","1639.70","","","","","","","","27.9900","","","","","","","","P"
"1995-07","A","1623.60","","","","","","","","29.7300","","","","","","","","P"
"1995-08","A","1637.10","","","","","","","","27.3000","","","","","","","","P"
"1995-09","A","1756.00","","","","","","","","25.7700","","","","","","","","P"
"1995-10","A","1818.00","","","","","","","","25.8900","","","","","","","","P"
"1995-11","A","1935.20","","","","","","","","24.5500","","","","","","","","P"
"1995-12","A","2389.50","","","","","","","","23.6700","","","","","","","","P"
"1996-01","A","1909.10","","","","","","","","19.1500","","","","","","","","P"
"1996-02","A","1911.20","","","","","","","","28.1400","","","","","","","","P"
"1996-03","A","1860.10","","","","","","","","21.3100","","","","","","","","P"
"1996-04","A","1854.80","","","","","","","","19.7600","","","","","","","","P"
"1996-05","A","1898.30","","","","","","","","19.7400","","","","","","","","P"
"1996-06","A","1966.00","","","","","","","","19.9000","","","","","","","","P"
"1996-07","A","1888.70","","","","","","","","16.3300","","","","","","","","P"
"1996-08","A","1916.40","","","","","","","","17.0600","","","","","","","","P"
"1996-09","A","2083.50","","","","","","","","18.6500","","","","","","","","P"
"1996-10","A","2148.30","","","","","","","","18.1700","","","","","","","","P"
"1996-11","A","2290.10","","","","","","","","18.3400","","","","","","","","P"
"1996-12","A","2848.60","","","","","","","","19.2100","","","","","","","","P"
"1997-01","A","2288.50","","","","","","","","19.8700","","","","","","","","P"
"1997-02","A","2213.50","","","","","","","","15.8200","","","","","","","","P"
"1997-03","A","2130.90","","","","","","","","14.5600","","","","","","","","P"
"1997-04","A","2100.50","","","","","","","","13.2500","","","","","","","","P"
"1997-05","A","2108.20","","","","","","","","11.0600","","","","","","","","P"
"1997-06","A","2164.70","","","","","","","","10.1100","","","","","","","","P"
"1997-07","A","2102.50","","","","","","","","11.3200","","","","","","","","P"
"1997-08","A","2104.40","","","","","","","","9.8100","","","","","","","","P"
"1997-09","A","2239.60","","","","","","","","7.4900","","","","","","","","P"
"1997-10","A","2348.00","","","","","","","","9.3000","","","","","","","","P"
"1997-11","A","2454.90","","","","","","","","7.2000","","","","","","","","P"
"1997-12","A","2881.70","","","","","","","","1.1600","","","","","","","","P"
"1998-01","A","2549.50","","","","","","","","11.4000","","","","","","","","P"
"1998-02","A","2306.40","","","","","","","","4.2000","","","","","","","","P"
"1998-03","A","2279.70","","","","","","","","6.9800","","","","","","","","P"
"1998-04","A","2252.70","","","","","","","","7.2500","","","","","","","","P"
"1998-05","A","2265.20","","","","","","","","7.4500","","","","","","","","P"
"1998-06","A","2326.00","","","","","","","","7.4500","","","","","","","","P"
"1998-07","A","2286.10","","","","","","","","8.7300","","","","","","","","P"
"1998-08","A","2314.60","","","","","","","","9.9900","","","","","","","","P"
"1998-09","A","2443.10","","","","","","","","9.0900","","","","","","","","P"
"1998-10","A","2536.00","","","","","","","","8.0100","","","","","","","","P"
"1998-11","A","2652.20","","","","","","","","8.0400","","","","","","","","P"
"1998-12","A","3131.40","","","","","","","","8.6700","","","","","","","","P"
"1999-01","A","2662.10","","","","","","","","4.4200","","","","","","","","P"
"1999-02","A","2538.40","","","","","","","","10.0600","","","","","","","","P"
"1999-03","A","2403.10","","","","","","","","5.4100","","","","","","","","P"
"1999-04","A","2356.80","","","","","","","","4.6200","","","","","","","","P"
"1999-05","A","2364.00","","","","","","","","4.3600","","","","","","","","P"
"1999-06","A","2428.80","","","","","","","","4.4200","","","","","","","","P"
"1999-07","B","17133.50","","","","","","","","","","","","","","","","P"
"1999-07","A","2380.30","","","","","","","","4.1200","","","","","","","","P"
"1999-08","B","19544.40","","","","","","","","","","","","","","","","P"
"1999-08","A","2410.90","","","","","","","","4.1600","","","","","","","","P"
"1999-09","B","22148.70","","","","","","","","","","","","","","","","P"
"1999-09","A","2604.30","","","","","","","","6.6000","","","","","","","","P"
"1999-10","B","24892.60","","","","","","","","","","","","","","","","P"
"1999-10","A","2743.90","","","","","","","","8.2000","","","","","","","","P"
"1999-11","A","2859.10","","","","","","","","7.8000","","","","","","","","P"
"1999-11","B","27751.70","","","","","","","","","","","","","","","","P"
"1999-12","A","3383.00","","","","","","","","8.0300","","","","","","","","P"
"1999-12","B","31134.70","","","","","","","","","","","","","","","","P"
"2000-01","B","2962.90","","","","","","","","","","","","","","","","P"
"2000-01","A","2962.90","","","","","","","","11.3000","","","","","","","","P"
"2000-02","A","2804.90","","","","","","","","10.5000","","","","","","","","P"
"2000-02","B","5767.80","","","","","","","","","","","","","","","","P"
"2000-03","A","2626.60","","","","","","","","9.3000","","","","","","","","P"
"2000-03","B","8394.40","","","","","","","","","","","","","","","","P"
"2000-04","B","10965.90","","","","","","","","","","","","","","","","P"
"2000-04","A","2571.50","","","","","","","","9.1100","","","","","","","","P"
"2000-05","A","2636.90","","","","","","","","11.5400","","","","","","","","P"
"2000-05","B","13602.80","","","","","","","","","","","","","","","","P"
"2000-06","A","2645.20","","","","","","","","8.9100","","","","","","","","P"
"2000-06","B","16248.00","","","","","","","","","","","","","","","","P"
"2000-07","B","18844.90","","","","","","","","9.9900","","","","","","","","P"
"2000-07","A","2596.90","","","","","","","","9.1000","","","","","","","","P"
"2000-08","A","2636.30","","","","","","","","9.3500","","","","","","","","P"
"2000-08","B","21481.20","","","","","","","","9.9100","","","","","","","","P"
"2000-09","A","2854.30","","","","","","","","9.6000","","","","","","","","P"
"2000-09","B","24335.50","","","","","","","","9.8700","","","","","","","","P"
"2000-10","B","27364.80","","","","","","","","9.9300","","","","","","","","P"
"2000-10","A","3029.30","","","","","","","","10.4000","","","","","","","","P"
"2000-11","A","3107.80","","","","","","","","8.7000","","","","","","","","P"
"2000-11","B","30472.60","","","","","","","","9.8000","","","","","","","","P"
"2000-12","A","3680.00","","","","","","","","8.7800","","","","","","","","P"
"2000-12","B","34152.60","","","","","","","","9.6900","","","","","","","","P"
"2001-01","B","3332.80","","","","","","","","12.4800","","","","","","","","P"
"2001-01","A","3332.80","","","","","","","","12.4800","","","","","","","","P"
"2001-02","B","6379.90","","","","","","","","10.6100","","","","","","","","P"
"2001-02","A","3047.10","","","","","","","","8.6300","","","","","","","","P"
"2001-03","A","2876.10","","","","","","","","9.5000","","","","","","","","P"
"2001-03","B","9256.00","","","","","","","","10.2600","","","","","","","","P"
"2001-04","B","12076.90","","","","","","","","10.1300","","","","","","","","P"
"2001-04","A","2820.90","","","","","","","","9.7000","","","","","","","","P"
"2001-05","A","2929.60","","","","","","","","11.1000","","","","","","","","P"
"2001-05","B","15006.50","","","","","","","","10.3200","","","","","","","","P"
"2001-06","B","17915.20","","","","","","","","10.2600","","","","","","","","P"
"2001-06","A","2908.70","","","","","","","","9.9600","","","","","","","","P"
"2001-07","B","20766.60","","","","","","","","10.2000","","","","","","","","P"
"2001-07","A","2851.40","","","","","","","","9.8000","","","","","","","","P"
"2001-08","A","2889.40","","","","","","","","9.6000","","","","","","","","P"
"2001-08","B","23656.00","","","","","","","","10.1200","","","","","","","","P"
"2001-09","A","3136.90","","","","","","","","9.9000","","","","","","","","P"
"2001-09","B","26792.90","","","","","","","","10.1000","","","","","","","","P"
"2001-10","B","30140.20","","","","","","","","10.1400","","","","","","","","P"
"2001-10","A","3347.30","","","","","","","","10.5000","","","","","","","","P"
"2001-11","A","3421.70","","","","","","","","10.1000","","","","","","","","P"
"2001-11","B","33561.90","","","","","","","","10.1400","","","","","","","","P"
"2001-12","B","37595.20","","","","","","","","10.0800","","","","","","","","P"
"2001-12","A","4033.30","","","","","","","","9.6000","","","","","","","","P"
"2002-01","B","3552.20","","","","","","","","6.5800","","","","","","","","P"
"2002-01","A","3552.20","","","","","","","","6.5800","","","","","","","","P"
"2002-02","A","3416.00","","","","","","","","12.1100","","","","","","","","P"
"2002-02","B","6970.00","","","","","","","","9.2500","","","","","","","","P"
"2002-03","A","3197.40","","","","","","","","11.1700","","","","","","","","P"
"2002-03","B","10168.20","","","","","","","","9.8600","","","","","","","","P"
"2002-04","B","13331.50","","","","","","","","10.3900","","","","","","","","P"
"2002-04","A","3163.30","","","","","","","","12.1400","","","","","","","","P"
