stock_code,Stknme,industry,Nindnme
000001,平安银行,I01,银行业
000002,万科A,J,房地产业
000003,PT 金田A,M,综合类
000004,国华网安,G87,计算机应用服务业
000005,ST 星源,K99,其他社会服务业
000006,深振业A,J,房地产业
000007,全新好,J,房地产业
000008,神州高铁,C75,交通运输设备制造业
000009,中国宝安,M,综合类
000010,美丽生态,E01,土木工程建筑业
000011,深物业A,J,房地产业
000012,南玻A,C61,非金属矿物制品业
000013,*ST 石化A,H,批发和零售贸易
000014,沙河股份,J,房地产业
000015,PT 中浩A,M,综合类
000016,深康佳A,G,信息技术业
000017,深中华A,C75,交通运输设备制造业
000018,神城A退,E05,装修装饰业
000019,深粮控股,H,批发和零售贸易
000020,深华发A,G,信息技术业
000021,深科技,G,信息技术业
000022,深赤湾A,F07,水上运输业
000023,*ST 深天,C61,非金属矿物制品业
000024,招商地产,J,房地产业
000025,特力A,H,批发和零售贸易
000026,飞亚达,H11,零售业
000027,深圳能源,D01,电力、蒸汽、热水的生产和供应业
000028,国药一致,H,批发和零售贸易
000029,深深房A,J,房地产业
000030,富奥股份,C75,交通运输设备制造业
000031,大悦城,J,房地产业
000032,深桑达A,E01,土木工程建筑业
000033,新都退,K32,旅馆业
000034,神州数码,H,批发和零售贸易
000035,中国天楹,K99,其他社会服务业
000036,华联控股,J,房地产业
000037,深南电A,D01,电力、蒸汽、热水的生产和供应业
000038,大通退,K99,其他社会服务业
000039,中集集团,C69,金属制品业
000040,*ST 旭蓝,D01,电力、蒸汽、热水的生产和供应业
000042,中洲控股,J,房地产业
000043,中航善达,J,房地产业
000045,深纺织A,G,信息技术业
000046,*ST 泛海,I99,其他金融业
000047,ST 中侨,J,房地产业
000048,京基智农,C01,食品加工业
000049,德赛电池,C76,电器机械及器材制造业
000050,深天马A,G,信息技术业
000055,方大集团,C69,金属制品业
000056,皇庭国际,K99,其他社会服务业
000058,深赛格,K99,其他社会服务业
000059,华锦股份,C41,石油加工及炼焦业
000060,中金岭南,C67,有色金属冶炼及压延加工业
000061,农产品,K99,其他社会服务业
000062,深圳华强,H,批发和零售贸易
000063,中兴通讯,G,信息技术业
000065,北方国际,E01,土木工程建筑业
000066,中国长城,G,信息技术业
000068,华控赛格,K20,专业、科研服务业
000069,华侨城A,J,房地产业
000070,ST 特信,C76,电器机械及器材制造业
